card_id,review_time,review_rating
1,1704067200000,3
1,1704153600000,3
1,1704326400000,4
1,1704672000000,3
1,1705449600000,3
1,1707091200000,4
1,1709251200000,3
2,1704067200000,3
2,1704153600000,2
2,1704240000000,3
2,1704412800000,3
2,1704844800000,4
2,1705795200000,3
2,1707955200000,3
3,1704067200000,3
3,1704153600000,3
3,1704326400000,3
3,1704758400000,4
3,1705622400000,3
3,1707523200000,3
4,1704067200000,2
4,1704153600000,3
4,1704240000000,3
4,1704499200000,3
4,1705104000000,3
4,1706486400000,4
4,1708819200000,3
5,1704067200000,3
5,1704153600000,4
5,1704412800000,3
5,1704931200000,3
5,1705968000000,3
5,1708214400000,4
6,1704067200000,1
6,1704153600000,3
6,1704240000000,2
6,1704326400000,3
6,1704672000000,3
6,1705363200000,4
6,1706918400000,3
6,1709251200000,3
